"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
6.184999365E-4,-2.972219238E0,5.829028473E0,6.157595215E0
2.077149996E-2,-2.332898712E0,5.676944733E0,8.317304077E0
4.092549998E-2,-1.540596313E0,5.757626953E0,9.836345215E0
6.107850000E-2,-1.355880432E0,5.855223999E0,9.985435181E0
8.123150002E-2,-1.727258148E0,5.898334351E0,8.661288757E0
1.013845000E-1,-1.874102783E0,5.881868591E0,7.632029114E0
1.215375001E-1,-1.704206085E0,5.811814270E0,7.575297089E0
1.416904998E-1,-1.693129120E0,5.743406525E0,7.508386230E0
1.618434999E-1,-1.774859161E0,5.711223450E0,7.531438293E0
1.819964999E-1,-1.744023285E0,5.782325592E0,7.558981018E0
2.021494999E-1,-1.721120911E0,5.852379913E0,7.447612610E0
2.223034999E-1,-1.794767761E0,5.758225708E0,7.406298523E0
2.424565000E-1,-1.897903290E0,5.591173096E0,7.487878876E0
2.626095000E-1,-2.015259247E0,5.563780060E0,7.520960083E0
2.827625000E-1,-2.063159637E0,5.572462006E0,7.492818604E0
3.029155000E-1,-1.971101074E0,5.620961151E0,7.505542145E0
3.230685000E-1,-1.917063446E0,5.754483490E0,7.529941406E0
3.432215001E-1,-1.947599945E0,5.904471588E0,7.542066193E0
3.633744998E-1,-1.911225586E0,5.882467346E0,7.547454987E0
3.835284999E-1,-1.813478851E0,5.756579132E0,7.810158691E0
4.036814999E-1,-1.611848145E0,5.683381348E0,8.260871429E0
4.238344999E-1,-1.350192261E0,5.755082245E0,8.490044861E0
4.439874999E-1,-1.132993927E0,5.857918396E0,8.250093842E0
4.641404999E-1,-1.042432251E0,5.852529602E0,7.900870056E0
4.842935000E-1,-1.200204163E0,5.768254852E0,7.718399506E0
5.044465000E-1,-1.179397430E0,5.837411041E0,8.027955780E0
5.245995000E-1,-9.111552429E-1,5.778583374E0,8.024962006E0
5.447525000E-1,-9.479786682E-1,5.782924347E0,7.914342041E0
5.649065000E-1,-1.103654938E0,5.707780609E0,7.657476196E0
5.850594998E-1,-1.111139374E0,5.660478973E0,7.525750122E0
6.052127499E-1,-1.088237000E0,5.728886719E0,7.615413666E0
6.253657499E-1,-1.076112213E0,5.744154968E0,7.694299622E0
