"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.373807300E-2,-9.619147182E-1,8.235198021E0,5.084748268E0
4.346312500E-2,-9.990034699E-1,8.247162819E0,5.193920612E0
6.322395800E-2,-1.001396298E0,8.266304970E0,5.339882851E0
8.299260400E-2,-9.116654396E-1,8.216055870E0,5.389235020E0
1.027319270E-1,-8.961120844E-1,8.193324089E0,5.336293697E0
1.224927600E-1,-9.212366939E-1,8.210073471E0,5.288437366E0
1.422790620E-1,-9.308080077E-1,8.199305534E0,5.248955727E0
1.620331250E-1,-9.607182741E-1,8.212466240E0,5.207081318E0
1.817939580E-1,-9.714859724E-1,8.193324089E0,5.161617756E0
2.015522910E-1,-9.571290612E-1,8.201698303E0,5.161617756E0
2.213109370E-1,-9.798609018E-1,8.230412483E0,5.244169712E0
2.410717710E-1,-9.511470199E-1,8.213663101E0,5.361418247E0
2.608486460E-1,-9.296116233E-1,8.207680702E0,5.407180786E0
2.805817180E-1,-9.643075466E-1,8.211270332E0,5.370092392E0
3.003425520E-1,-9.607182741E-1,8.226823807E0,5.302793980E0
3.201061460E-1,-9.128618240E-1,8.214859009E0,5.314758301E0
3.398751560E-1,-9.164510965E-1,8.213663101E0,5.309972763E0
3.596359890E-1,-9.571290612E-1,8.182556152E0,5.292026520E0
3.793949480E-1,-1.015753269E0,8.181359291E0,5.315954685E0
3.991415100E-1,-9.966106415E-1,8.183753014E0,5.320740223E0
4.189023430E-1,-9.367900491E-1,8.171788216E0,5.341079235E0
4.386730210E-1,-9.451649189E-1,8.170592308E0,5.286044121E0
4.584319270E-1,-9.332008362E-1,8.202895164E0,5.164010525E0
4.781927600E-1,-9.607182741E-1,8.234002113E0,5.140082359E0
4.979322390E-1,-9.655039310E-1,8.214859009E0,5.232205868E0
5.176984890E-1,-9.236295223E-1,8.231609344E0,5.338686466E0
5.374593230E-1,-1.042074203E0,8.285447121E0,5.315954685E0
5.572028640E-1,-1.160818100E0,8.381160736E0,5.097011566E0
5.769917180E-1,-1.329512119E0,8.481958389E0,4.727918625E0
5.967525520E-1,-1.321137190E0,8.565707207E0,4.706383228E0
6.165114060E-1,-1.106979609E0,8.576474190E0,4.799703121E0
6.362398430E-1,-6.529414654E-1,7.645965576E0,5.444269657E0
6.560006770E-1,-6.062814593E-1,7.316354275E0,5.705386639E0
6.757838020E-1,-8.315058947E-1,7.950153351E0,5.608178139E0
6.955347910E-1,-1.093819022E0,8.054241180E0,5.663512230E0
7.152956250E-1,-6.421737671E-1,7.929814339E0,5.887240887E0
7.350407810E-1,-3.834498227E-1,7.601399422E0,6.425027847E0
7.547895830E-1,-5.162515044E-1,7.517650604E0,6.892226696E0
7.745504160E-1,-6.936194897E-1,7.850552082E0,6.643074036E0
7.943398430E-1,-5.512465239E-1,7.874480247E0,6.216852188E0
8.140610930E-1,-5.584250093E-1,7.720143318E0,6.275476456E0
8.338219270E-1,-8.518448472E-1,8.154739380E0,5.597410202E0
8.535877600E-1,-9.343972206E-1,8.304590225E0,5.023731232E0
8.733386460E-1,-7.474579811E-1,8.019545555E0,5.143671513E0
8.930994790E-1,-6.433702111E-1,7.971688747E0,5.325525761E0
9.128503640E-1,-6.397809386E-1,7.892426491E0,5.551946640E0
9.326293750E-1,-8.338986635E-1,8.096115112E0,5.490929604E0
9.523902080E-1,-7.666005492E-1,8.097311974E0,5.368896008E0
9.721234370E-1,-6.302096844E-1,8.000402451E0,5.626124382E0
9.918971350E-1,-6.278168559E-1,7.758428097E0,6.005984783E0
1.011657968E0,-8.506484628E-1,8.044670105E0,5.949753284E0
1.031400052E0,-7.881359458E-1,8.184948921E0,5.680262089E0
1.051178177E0,-6.433702111E-1,8.039883614E0,5.494519234E0
1.070938437E0,-6.385845542E-1,8.047062874E0,5.507679462E0
1.090707552E0,-7.067800164E-1,8.091329575E0,5.478965759E0
1.110774531E0,-6.996015310E-1,8.023134232E0,5.616552830E0
1.130534791E0,-7.175477147E-1,8.049455643E0,5.620141983E0
1.149942864E0,-7.725825906E-1,8.086544037E0,5.471786976E0
1.169731146E0,-9.104689956E-1,8.223234177E0,5.573482037E0
1.189491406E0,-9.559326172E-1,8.245965958E0,5.603392601E0
1.209252031E0,-7.414759398E-1,8.155936241E0,5.651547909E0
1.229006093E0,-6.720840335E-1,7.823034763E0,5.633601665E0
1.248766354E0,-5.368895531E-1,7.549953461E0,5.604588985E0
1.268510833E0,-6.960122585E-1,8.002795219E0,5.416752338E0
1.288250729E0,-9.499505758E-1,8.184948921E0,5.368896008E0
1.308010989E0,-8.338986635E-1,8.076972961E0,5.453841209E0
1.327783281E0,-7.438687682E-1,7.969295979E0,5.592624664E0
1.347533073E0,-7.725825906E-1,8.036294937E0,5.496912003E0
1.367293333E0,-8.422735929E-1,8.007580757E0,5.538786411E0
1.387080833E0,-8.482556343E-1,8.045866013E0,5.617749214E0
1.406860781E0,-7.905287743E-1,7.996813297E0,5.655137062E0
1.426621041E0,-8.338986635E-1,8.060222626E0,5.720939636E0
1.446336875E0,-8.147560954E-1,8.029116631E0,5.736493111E0
1.466095885E0,-7.689933777E-1,8.014759064E0,5.626124382E0
