Time (s),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (°),Activity
0.007173061371,51.99257483,5.939020978,31.18241119,,,40.0,24.65050888,sitting
0.00758099556,51.99406582,5.937718833,24.30453116,0.150000006,,4.314255631,4.05217792,sitting
0.007786035538,51.99284785,5.939553129,31.38973618,0.0,,5.36532074,8.0,sitting
0.007918953896,51.99336355,5.938162218,23.5618515,,,46.0,23.69652557,sitting
0.008149981499,51.99242991,5.939067138,26.70533371,,,40.0,24.70820999,sitting
0.00842499733,51.99286384,5.938702558,23.63480377,,,47.43165714,16.3960743,sitting
0.008713006973,51.99229481,5.939396493,21.43461609,,,35.0,20.3670845,sitting
0.01380693913,51.99342889,5.938245833,23.28917313,,,46.0,16.85712624,sitting
0.01380693913,51.99341996,5.938213241,23.36260223,,,46.0,20.378479,sitting
0.01575696468,51.99282627,5.938720456,23.297966,,,47.43165641,14.32879829,sitting
0.01575696468,51.9928276,5.938712565,23.41660881,,,47.43165641,16.3093586,sitting
0.1622439623,51.99274505,5.939196744,35.56442642,,,35.0,23.99209023,sitting
0.5005371571,51.99326782,5.938793393,22.42690659,0.0,,3.535533906,3.0,sitting
0.5383429527,51.99312044,5.938661096,24.1041832,,,36.29829243,20.63824844,sitting
0.589193821,51.99406754,5.937725203,23.06087875,0.400000006,30.234375,4.623658511,6.0,sitting
0.5944350958,51.99326724,5.938903531,25.3915062,0.2599999905,151.875,7.456143548,12.0,sitting
0.6095095873,51.99284948,5.939510465,30.14754868,0.150000006,221.484375,11.8429695,12.0,sitting
0.614480257,51.99355138,5.938808396,62.91213608,0.150000006,170.859375,23.85921695,48.0,sitting
0.6149196625,51.99396411,5.93788689,33.65664291,0.7300000191,175.4296875,11.66090273,12.0,sitting
0.6251317263,51.99294906,5.940121422,33.76467514,0.0,,12.56307257,12.0,sitting
1.134488821,51.99334125,5.938758943,20.0812645,0.3700000048,275.2734375,11.02280529,16.0,sitting
1.167504787,51.99284609,5.939492527,30.20339584,0.150000006,,11.91695775,12.0,sitting
1.206479073,51.99355046,5.938808564,62.9574852,0.1599999964,,23.91476629,48.0,sitting
1.36119175,51.99406888,5.937728053,23.10970688,0.0,,4.665018272,6.0,sitting
1.495915651,51.99395577,5.937872641,42.35128403,0.7300000191,207.0703125,7.1986593,8.0,sitting
1.502271891,51.99326284,5.938792555,22.45608139,0.0,,3.535533906,3.0,sitting
1.709489584,51.99334146,5.938755842,20.09023666,0.3700000048,275.625,11.09630803,16.0,sitting
1.715108991,51.99267158,5.93988589,19.59762192,0.0,,7.241860895,12.0,sitting
1.785103917,51.9925772,5.9398962,23.35464096,0.0,,8.23323023,12.0,sitting
